*SHIP
**CLASS	UNITS	LCG IN USE	LCG REF PT	LCG + DIR	VCG IN USE	TCG IN USE	TCG + DIR	POSITION FORMAT
DMS	METRIC	N	AP	F	N	N	PORT	BAY-STACK-TIER
*SECTION
**STAF BAY	LEVEL	20 NAME	40 NAME	SL Hatch	SL ForeAft	LCG 20	LCG 40	LCG 45	LCG 48	STACK WT 20	STACK WT 40	STACK WT 45	STACK WT 48	MAX HEIGHT	PAIRED BAY	REEFER PLUGS	DOORS	ATHWARTSHIPS	BULKHEAD	BULKHEAD LCG	LCG 24	STACK WT 24
01	A	01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	N	N	-	-	-
01	B	01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	N	N	-	-	-
03	A	03	04	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
03	B	03	04	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
05	A	05	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
05	B	05	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
07	A	07	08	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
07	B	07	08	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
09	A	09	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
09	B	09	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
11	A	11	12	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
11	B	11	12	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
13	A	13	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
13	B	13	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
15	A	15	16	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
15	B	15	16	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
17	A	17	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
17	B	17	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
19	A	19	20	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
19	B	19	20	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
21	A	21	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
21	B	21	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
23	A	23	24	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
23	B	23	24	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
25	A	25	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
25	B	25	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
27	A	27	28	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
27	B	27	28	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
29	A	29	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
29	B	29	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
31	A	31	32	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
31	B	31	32	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
33	A	33	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
33	B	33	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
35	A	35	36	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
35	B	35	36	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
37	A	37	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
37	B	37	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
39	A	39	40	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
39	B	39	40	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
41	A	41	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
41	B	41	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
43	A	43	44	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
43	B	43	44	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
45	A	45	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
45	B	45	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
47	A	47	48	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
47	B	47	48	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
49	A	49	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
49	B	49	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
51	A	51	52	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
51	B	51	-	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
53	A	53	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
55	A	55	56	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
55	B	55	56	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
57	A	57	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
57	B	57	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
59	A	59	60	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
59	B	59	60	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
61	A	61	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
61	B	61	-	-	-	-	-	-	-	-	-	-	-	-	F	-	-	N	N	-	-	-
63	A	64	64	-	-	-	-	-	-	-	-	-	-	-	A	-	-	N	N	-	-	-
*STACK
**STAF BAY	LEVEL	ISO STACK	CUSTOM STACK	TOP TIER	BOTTOM TIER	BOTTOM VCG	TCG	ACCEPTS 20	ACCEPTS 40	ACCEPTS 45	ACCEPTS 48	LCG 20	LCG 40	LCG 45	LCG 48	STACK WT 20	STACK WT 40	STACK WT 45	STACK WT 48	MAX HT	ACCEPTS 24	LCG 24	STACK WT 24	20 ISO STK	40 ISO STK
01	A	01	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0101	-
01	A	02	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0102	-
01	A	03	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0103	-
01	A	04	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0104	-
01	A	05	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0105	-
01	A	06	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0106	-
01	A	07	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0107	-
01	A	08	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0108	-
01	A	09	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0109	-
01	A	10	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0110	-
01	A	11	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0111	-
01	A	12	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0112	-
01	B	01	-	18	12	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0101	-
01	B	02	-	18	12	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0102	-
01	B	03	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0103	-
01	B	04	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0104	-
01	B	05	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0105	-
01	B	06	-	18	18	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0106	-
03	A	01	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0301	0401
03	A	02	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0302	0402
03	A	03	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0303	0403
03	A	04	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0304	0404
03	A	05	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0305	0405
03	A	06	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0306	0406
03	A	07	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0307	0407
03	A	08	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0308	0408
03	A	09	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0309	0409
03	A	10	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0310	0410
03	A	11	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0311	0411
03	A	12	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0312	0412
03	A	13	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0313	0413
03	A	14	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	0314	0414
03	B	01	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0301	0401
03	B	02	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0302	0402
03	B	03	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0303	0403
03	B	04	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0304	0404
03	B	05	-	18	16	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0305	0405
03	B	06	-	18	16	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0306	0406
03	B	07	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0307	0407
03	B	08	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	0308	0408
05	A	01	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0501	-
05	A	02	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0502	-
05	A	03	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0503	-
05	A	04	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0504	-
05	A	05	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0505	-
05	A	06	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0506	-
05	A	07	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0507	-
05	A	08	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0508	-
05	A	09	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0509	-
05	A	10	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0510	-
05	A	11	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0511	-
05	A	12	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0512	-
05	A	13	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0513	-
05	A	14	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0514	-
05	B	01	-	18	04	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0501	-
05	B	02	-	18	04	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0502	-
05	B	03	-	18	10	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0503	-
05	B	04	-	18	10	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0504	-
05	B	05	-	18	14	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0505	-
05	B	06	-	18	14	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0506	-
05	B	07	-	18	16	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	0507	-
